s_ID,cluster,gender,Gender_male,Gender_female,province,Prov_EC,Prov_FS,Prov_GP,Prov_KZN,Prov_LP,Prov_MP,Prov_NW,Prov_NC,Prov_WC,education,educ,Age,industry,Exiters,Industry_mixed,Industry_livestock,Industry_fieldcrops,Industry_horticulture,Industry_forest,turnover,exp,Exiting,Exit_Retire,Exit_Danger,Exit_Finance,gens,loans_prod_dum,loans_lt_dum,loans_st_dum,loans_informal_dum,loans_none_dum,threat_drought_flood,threat_avail_relief,threat_drought_flood_rescale,threat_avail_relief_rescale,goal_lt_estrat_sell,goal_lt_estrat_crime,goal_lt_estrat_money,goal_lt_estrat_sell_rescale,goal_lt_estrat_crime_rescale,goal_lt_estrat_money_rescale,goal_fc,goal_hort,goal_past,goal_nv,goal_ls_int,goal_ls_ext,goal_emp,goal_ent_num,goal_water,goal_proc,goal_lt_prod_down,goal_lt_estrat_sub,goal_st_estrat_sub,adj_size_int_arp,adj_size_ext_ar,adj_num_int_ls,adj_num_ext_ls,adj_num_emp,adj_num_branches,adj_water_store,adj_water_underg,adj_water_run,adj_direct_cost,adj_invest_cost,adj_turnover,adj_interest_rate,const_fin_chal,const_serv_borrow,threat_dep_labour,threat_law_labour,threat_law_tenure,threat_min_wage,threat_land_ref,threat_pred,threat_law_pred,threat_law_enviro,threat_ls_theft,threat_market_access,threat_input_cost,threat_comm_price_down,threat_farm_att,threat_clim_chnge
6554494359,1,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,76,Horticulture,1,0,0,0,1,0,1000000,10.5,1,4,2,2,N/A,0,0,0,0,1,5,5,3,3,Agree,Disagree,Disagree,-1,1,1,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6554489298,3,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,51,Horticulture,0,0,0,0,1,0,1000000,3,0,3,3,3,N/A,0,0,0,0,1,10,10,5,5,Undecided,Undecided,Undecided,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,-1,5,1,4,5,5,3,5,3,4,4,3,4,5,1,5,4
6554484580,3,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Postgrad,3,70,Livestock,1,0,1,0,0,0,2500000,23,1,4,4,4,4,0,1,0,0,0,9,9,5,5,Agree,Agree,Agree,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4,4,1,4,4,4,4,5,1,4,1,1,3
6554394137,2,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,57,Mixed,0,1,0,0,0,0,1000000,10.5,0,2,2,3,N/A,0,1,1,0,0,5,8,3,4,Disagree,Disagree,Undecided,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,5,5,5,4,5,1,1,1,4,2,4,2,4,4
6554298513,2,Male,1,0,Limpopo,0,0,0,0,1,0,0,0,0,Undergrad,2,67,Mixed,1,1,0,0,0,0,2500000,10.5,1,4,4,2,3,0,0,0,0,1,1,1,1,1,Agree,Agree,Disagree,-1,-1,1,0,1,0,0,0,0,-1,0,1,0,1,2,2,1,0,0,0,-1,0,1,0,0,1,1,1,0,2,1,4,4,1,5,5,2,2,1,1,2,4,2,5,4
6554235765,1,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,63,Mixed,0,1,0,0,0,0,100000000,40,0,1,1,1,1,0,1,1,0,0,3,1,2,1,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,1,0,1,0,1,0,-1,0,1,0,2,2,2,1,0,1,0,-1,0,0,0,1,1,1,1,-1,2,1,2,4,5,1,2,2,1,1,1,1,1,1,1,1
6554126983,4,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,34,Livestock,0,0,1,0,0,0,2.5e+07,10.5,0,1,2,2,N/A,0,1,1,0,0,8,6,4,3,Strongly disagree,Disagree,Disagree,2,1,1,0,0,0,0,1,1,0,0,1,0,1,2,2,0,1,1,1,1,0,0,0,0,1,1,1,1,4,3,4,2,3,1,3,1,1,1,4,1,3,3,4,4
6552881001,3,Female,0,1,Eastern Cape,1,0,0,0,0,0,0,0,0,Undergrad,2,41,Livestock,1,0,1,0,0,0,2.5e+07,3,1,2,4,4,N/A,0,1,1,0,0,10,10,5,5,Disagree,Agree,Agree,1,-1,-1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,-1,0,1,0,0,1,1,0,-1,2,2,5,1,4,1,5,1,1,5,5,2,5,5,1,5
6552678777,3,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Postgrad,3,39,Mixed,1,1,0,0,0,0,2.5e+07,3,1,2,4,4,4,0,1,1,0,0,8,3,4,2,Disagree,Agree,Agree,1,-1,-1,1,0,1,0,1,1,-1,1,1,0,2,2,2,1,-1,1,0,-1,1,1,0,0,1,1,1,0,4,5,2,4,3,5,5,3,1,4,5,2,4,3,5,2
6551804601,4,Female,0,1,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Postgrad,3,31,Livestock,0,0,1,0,0,0,2.5e+07,3,0,1,3,3,2,0,1,1,1,0,8,7,4,4,Strongly disagree,Undecided,Undecided,2,0,0,1,1,1,1,1,0,1,1,0,0,2,1,1,1,0,1,0,1,0,0,0,0,1,1,1,-1,5,4,2,4,4,4,4,1,1,3,4,3,5,3,4,5
6551559019,3,Male,1,0,Eastern Cape,1,0,0,0,0,0,0,0,0,Undergrad,2,32,Mixed,1,1,0,0,0,0,2.5e+07,3,1,3,4,2,4,1,1,1,0,0,8,7,4,4,Undecided,Agree,Disagree,0,-1,1,0,0,0,0,1,1,-1,1,1,1,-1,-1,0,1,0,0,0,-1,1,0,0,0,1,1,1,-1,1,3,4,4,4,4,4,3,2,4,4,1,3,3,4,4
6551479561,2,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Postgrad,3,42,Mixed,0,1,0,0,0,0,100000000,10.5,0,1,1,1,1,0,1,1,0,0,5,10,3,5,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,1,0,1,-1,1,0,0,0,0,0,2,2,2,1,0,1,0,0,0,0,0,0,1,1,1,-1,3,1,3,5,5,1,5,4,1,1,5,1,3,3,5,5
6549031703,4,Male,1,0,Gauteng,0,0,1,0,0,0,0,0,0,Postgrad,3,53,Mixed,0,1,0,0,0,0,5000000,10.5,0,1,1,2,5,1,0,0,1,0,7,3,4,2,Strongly disagree,Strongly disagree,Disagree,2,2,1,1,1,1,0,1,-1,0,1,1,1,1,1,2,0,0,0,0,0,0,1,1,0,1,1,0,-1,4,5,4,3,5,3,4,2,2,4,1,4,5,5,3,2
6548668133,1,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,57,Livestock,0,0,1,0,0,0,100000000,23,0,1,1,1,2,0,1,0,1,0,8,2,4,1,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,0,0,1,0,1,0,0,0,0,0,2,2,2,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,2,2,2,2,2,1,1,1,2,1,4,4,3,4
6548596808,3,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,54,Livestock,1,0,1,0,0,0,2.5e+07,23,1,3,5,4,4,1,1,1,0,0,9,9,5,5,Undecided,Strongly agree,Agree,0,-2,-1,1,0,1,0,1,0,-1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,-1,-1,-1,1,5,2,5,4,3,3,5,4,3,2,5,3,5,4,5,4
6548424925,4,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,57,Mixed,0,1,0,0,0,0,2.5e+07,40,0,2,2,2,4,1,1,1,0,0,9,2,5,1,Disagree,Disagree,Disagree,1,1,1,0,1,1,0,1,-1,0,1,0,1,1,1,1,1,-1,1,-1,0,0,0,0,0,1,1,1,1,4,4,2,4,2,5,5,1,1,4,5,3,5,5,5,4
6546326696,4,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,50,Mixed,0,1,0,0,0,0,10000000,23,0,2,2,2,2,0,1,1,1,0,5,5,3,3,Disagree,Disagree,Disagree,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6546268963,4,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Secondary & Primary & Matric,1,46,Mixed,0,1,0,0,0,0,10000000,23,0,2,2,2,3,0,1,1,0,0,5,10,3,5,Disagree,Disagree,Disagree,1,1,1,-1,1,0,0,0,0,-1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,-1,4,3,3,5,5,5,5,3,3,5,3,3,5,5,5,5
6545293177,3,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,65,Mixed,1,1,0,0,0,0,5000000,40,1,5,2,2,1,0,1,1,1,0,10,9,5,5,Strongly agree,Disagree,Disagree,-2,1,1,1,0,0,-1,0,0,1,0,0,1,1,-2,-1,0,1,0,0,1,0,0,0,0,1,0,1,-1,5,5,3,2,1,2,5,4,4,2,1,3,5,5,4,4
6544181272,4,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Postgrad,3,41,Mixed,0,1,0,0,0,0,100000000,10.5,0,3,2,3,4,0,1,1,0,0,8,5,4,3,Undecided,Disagree,Undecided,0,1,0,0,1,1,0,1,0,-1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,4,4,2,4,4,5,2,1,1,4,3,2,5,5,3,4
6544038616,2,Male,1,0,North West,0,0,0,0,0,0,1,0,0,Undergrad,2,55,Mixed,1,1,0,0,0,0,100000000,40,1,3,4,2,2,1,1,0,0,0,1,1,1,1,Undecided,Agree,Disagree,0,-1,1,0,-1,-1,0,0,0,-1,1,0,1,1,1,1,0,-1,-1,-1,-1,0,0,0,1,1,1,1,-1,3,4,3,4,5,4,5,1,1,2,2,1,4,4,4,4
6543360736,1,Male,1,0,Gauteng,0,0,1,0,0,0,0,0,0,Undergrad,2,47,Livestock,1,0,1,0,0,0,5000000,3,1,4,1,1,N/A,0,0,0,0,1,1,1,1,1,Agree,Strongly disagree,Strongly disagree,-1,2,2,0,0,0,0,1,0,1,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,5,3,5,5,5,1,1,1,1,5,1,1,3,3,1,1
6542184357,4,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,42,Mixed,0,1,0,0,0,0,10000000,23,0,1,1,1,4,0,1,0,0,0,10,10,5,5,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,1,1,0,0,-1,0,-1,0,0,0,2,2,2,0,0,-1,-1,0,1,0,0,0,0,0,1,0,4,4,5,5,1,5,5,1,1,4,4,4,5,1,5,5
6541998405,2,Male,1,0,Limpopo,0,0,0,0,1,0,0,0,0,Undergrad,2,80,Horticulture,1,0,0,0,1,0,1000000,40,1,4,1,1,N/A,0,0,0,0,1,5,1,3,1,Agree,Strongly disagree,Strongly disagree,-1,2,2,0,0,0,0,0,0,0,1,0,0,2,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,5,5,5,5,3,1,1,1,2,2,1,4,4
6541708872,4,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,40,Mixed,0,1,0,0,0,0,100000000,3,0,1,1,1,5,0,1,1,0,0,8,10,4,5,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,0,1,0,1,0,0,-1,1,0,1,2,2,2,1,1,1,1,1,1,0,0,0,1,1,1,0,4,4,4,4,4,3,5,1,1,3,5,4,4,4,5,5
6541680489,1,Male,1,0,Mpumalanga,0,0,0,0,0,1,0,0,0,Undergrad,2,54,Horticulture,0,0,0,0,1,0,5000000,23,0,3,2,2,1,0,0,0,0,1,8,2,4,1,Undecided,Disagree,Disagree,0,1,1,0,0,0,0,0,0,-1,1,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,5
6541125598,3,Male,1,0,Mpumalanga,0,0,0,0,0,1,0,0,0,Postgrad,3,60,Horticulture,1,0,0,0,1,0,10000000,23,1,4,4,4,1,0,1,0,0,0,10,8,5,4,Agree,Agree,Agree,-1,-1,-1,0,1,0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,-1,0,1,1,0,1,1,1,-1,4,4,2,4,1,2,5,1,1,2,1,3,4,2,4,5
6540610024,1,Male,1,0,Limpopo,0,0,0,0,1,0,0,0,0,Undergrad,2,68,Horticulture,0,0,0,0,1,0,300000,10.5,0,2,2,2,N/A,0,0,0,0,1,6,1,3,1,Disagree,Disagree,Disagree,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,4,1,1,1,1,1,3,1,3,3
6540527982,1,Male,1,0,Limpopo,0,0,0,0,1,0,0,0,0,Undergrad,2,25,Horticulture,0,0,0,0,1,0,2.5e+07,3,0,1,3,2,2,0,0,0,1,0,4,3,2,2,Strongly disagree,Undecided,Disagree,2,0,1,0,1,0,0,0,0,-1,0,0,0,2,1,1,1,-1,0,0,1,0,0,0,1,1,0,1,0,2,1,4,3,3,4,4,1,1,2,1,1,2,3,4,3
6540492862,2,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,49,Mixed,0,1,0,0,0,0,100000000,40,0,3,3,3,2,0,1,1,0,0,9,8,5,4,Undecided,Undecided,Undecided,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,-1,1,-1,0,0,0,0,0,0,0,1,1,1,-1,2,2,4,5,4,5,3,4,3,4,4,3,4,4,5,5
6540488686,1,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Postgrad,3,60,Mixed,1,1,0,0,0,0,2.5e+07,10.5,1,4,2,2,3,0,1,1,0,0,8,5,4,3,Agree,Disagree,Disagree,-1,1,1,0,1,-1,0,0,1,-1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,-1,1,1,-1,1,2,1,4,4,3,2,1,1,1,1,1,4,3,1,3
6540249770,1,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Undergrad,2,57,Horticulture,0,0,0,0,1,0,10000000,40,0,2,2,2,2,0,0,1,0,0,1,1,1,1,Disagree,Disagree,Disagree,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,4,4,4,1,1,3,3,1,1,1,2,1,2,1
6540248348,3,Male,1,0,KwaZulu-Natal,0,0,0,1,0,0,0,0,0,Secondary & Primary & Matric,1,60,Horticulture,1,0,0,0,1,0,2500000,23,1,5,3,3,1,0,0,0,1,0,10,10,5,5,Strongly agree,Undecided,Undecided,-2,0,0,0,1,0,0,0,0,-1,0,0,0,2,2,2,0,0,0,0,-1,0,0,0,0,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5
6538129016,2,Male,1,0,Eastern Cape,1,0,0,0,0,0,0,0,0,Undergrad,2,22,Horticulture,0,0,0,0,1,0,100000000,10.5,0,1,1,1,2,1,0,0,0,0,10,10,5,5,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,0,1,0,1,0,0,0,0,1,1,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,-1,1,1,2,4,4,5,5,1,1,4,4,1,4,1,5,3
6537641161,4,Female,0,1,Limpopo,0,0,0,0,1,0,0,0,0,Undergrad,2,36,Mixed,0,1,0,0,0,0,100000000,10.5,0,1,1,1,1,1,1,1,1,0,10,2,5,1,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,1,1,1,0,1,1,0,0,1,1,0,1,1,-1,-1,-1,-1,0,0,-1,-1,-1,1,1,0,0,5,2,2,2,2,5,5,4,3,5,2,4,3,3,4,5
6536115083,2,Male,1,0,Eastern Cape,1,0,0,0,0,0,0,0,0,Undergrad,2,67,Mixed,1,1,0,0,0,0,2500000,23,1,4,2,2,1,1,0,1,0,0,6,1,3,1,Agree,Disagree,Disagree,-1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,-1,0,0,0,0,1,1,1,0,1,1,4,5,1,5,5,2,1,1,1,5,5,1,5,5
6535870308,3,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Postgrad,3,57,Mixed,1,1,0,0,0,0,10000000,23,1,4,3,2,1,1,1,1,0,0,9,1,5,1,Agree,Undecided,Disagree,-1,0,1,0,1,1,0,0,0,1,-1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,3,3,4,4,4,3,3,3,1,1,4,3,4,3,3,4
6575513101,4,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,61,Horticulture,0,0,0,0,1,0,10000000,10.5,0,2,2,2,1,0,1,1,1,0,9,5,5,3,Disagree,Disagree,Disagree,1,1,1,0,1,0,0,0,0,1,1,1,1,2,1,1,1,0,0,0,1,0,0,1,0,1,1,1,-1,5,2,4,3,4,3,5,1,1,4,1,1,5,5,4,5
6497982631,2,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Secondary & Primary & Matric,1,72,Livestock,0,0,1,0,0,0,2500000,40,0,1,2,1,2,1,1,1,0,0,2,2,1,1,Strongly disagree,Disagree,Strongly disagree,2,1,2,1,0,1,0,1,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,5,5,5,5,5,2,4,1,1,1,3,3
6484356800,3,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,42,Horticulture,1,0,0,0,1,0,5000000,10.5,1,5,5,4,2,0,0,1,1,0,10,10,5,5,Strongly agree,Strongly agree,Agree,-2,-2,-1,0,0,0,0,0,0,-1,0,1,0,0,2,2,1,1,0,0,-1,0,0,0,0,1,1,0,-1,4,3,3,4,5,4,5,1,1,3,1,1,5,5,5,5
6483527668,2,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,47,Horticulture,0,0,0,0,1,0,2.5e+07,23,0,2,3,2,4,0,0,0,0,1,8,1,4,1,Disagree,Undecided,Disagree,1,0,1,0,0,0,0,0,0,-1,0,0,0,2,2,2,0,0,0,0,-1,0,0,0,1,1,0,1,0,1,1,2,2,3,4,4,1,1,2,1,3,3,2,4,5
6480788590,2,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,70,Horticulture,0,0,0,0,1,0,100000000,40,0,1,1,1,2,0,1,0,0,0,10,1,5,1,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,1,1,0,0,0,0,0,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,1,5,5,5,5,5,5,1,5,5,1,5,5,4,5
6572720653,1,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Postgrad,3,55,Livestock,0,0,1,0,0,0,5000000,23,0,2,2,3,4,1,1,1,0,0,7,8,4,4,Disagree,Disagree,Undecided,1,1,0,0,0,1,0,1,1,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,1,0,1,0,2,3,4,5,5,4,3,2,2,4,3,2,3,4,2,2
6572655833,1,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,52,Mixed,0,1,0,0,0,0,10000000,23,0,2,2,3,6,1,1,1,0,0,10,6,5,3,Disagree,Disagree,Undecided,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,-1,1,3,1,5,5,3,2,3,1,2,3,1,4,5,3,4
6557883680,4,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,67,Mixed,0,1,0,0,0,0,5000000,23,0,2,2,2,N/A,1,0,0,0,0,5,5,3,3,Disagree,Disagree,Disagree,1,1,1,1,0,1,0,1,0,-1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,-1,5,3,3,4,4,4,3,3,3,3,4,4,5,5,3,4
6557696918,1,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Postgrad,3,51,Mixed,0,1,0,0,0,0,1000000,3,0,1,1,2,N/A,0,1,0,1,0,10,7,5,4,Strongly disagree,Strongly disagree,Disagree,2,2,1,1,0,1,0,1,-1,0,1,0,1,2,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,3,3,4,4,5,4,4,4,4,4,2,2,3,3,2,3
6532519094,1,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,31,Horticulture,0,0,0,0,1,0,10000000,10.5,0,1,3,2,9,0,1,1,0,0,4,1,2,1,Strongly disagree,Undecided,Disagree,2,0,1,0,1,0,-1,0,0,1,0,1,1,2,2,2,1,-1,0,0,0,1,0,1,1,1,1,1,1,5,3,4,4,5,4,4,1,1,1,1,3,3,2,3,4
6531392016,1,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,71,Mixed,0,1,0,0,0,0,2500000,40,0,1,1,2,3,1,0,0,0,0,10,6,5,3,Strongly disagree,Strongly disagree,Disagree,2,2,1,1,1,1,0,0,0,-1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,3,4,2,1,1,5,2,2,1,1,5,1,1,4
6529752816,2,Male,1,0,Western Cape,0,0,0,0,0,0,0,0,1,Undergrad,2,68,Horticulture,0,0,0,0,1,0,2.5e+07,40,0,3,2,2,3,1,0,1,0,0,10,1,5,1,Undecided,Disagree,Disagree,0,1,1,0,1,0,0,0,0,-1,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,1,0,1,0,3,1,3,3,5,3,5,1,1,1,1,1,5,3,5,3
