no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
1,0,0,2,0,0,1,2,2018,5,19,3,0,0,0,110.0,0,1
2,0,0,3,1,0,0,65,2018,6,2,0,0,0,0,72.25,0,0
2,0,0,2,0,0,0,35,2018,6,21,1,0,0,0,113.4,1,0
2,0,0,2,1,0,0,102,2018,7,26,1,0,0,0,94.5,1,1
2,0,2,3,1,0,0,81,2018,4,3,1,0,0,0,73.9,0,1
2,0,2,5,1,0,0,36,2018,3,8,1,0,0,0,71.1,0,1
1,0,1,5,0,0,0,70,2018,7,11,0,0,0,0,80.0,0,1
2,0,1,3,0,0,0,47,2018,3,21,1,0,0,0,93.5,1,0
2,0,0,1,1,0,0,24,2017,9,19,1,0,0,0,115.0,2,0
1,0,1,1,2,0,0,301,2018,7,30,0,0,0,0,90.0,0,0
1,0,0,3,1,0,0,1,2018,12,13,1,0,0,0,78.0,1,0
2,0,0,2,2,0,0,102,2017,10,16,0,0,0,0,109.0,0,0
2,0,3,5,1,0,0,275,2018,10,9,1,0,0,0,91.69,0,1
2,0,2,2,0,0,0,33,2018,4,16,1,0,0,0,103.05,1,0
2,0,2,3,0,0,1,35,2018,9,25,1,0,0,0,137.34,2,0
2,0,0,2,0,0,0,225,2018,8,12,1,0,0,0,96.3,0,1
2,0,2,3,0,0,2,51,2018,4,28,1,0,0,0,116.1,0,1
2,0,2,2,0,0,1,68,2018,9,24,1,0,0,0,149.4,2,0
2,0,2,2,0,0,0,125,2017,8,7,1,0,0,0,76.5,1,1
2,0,0,2,1,0,0,300,2018,12,22,1,0,0,0,67.5,3,0
2,0,2,2,0,0,0,11,2017,10,23,0,0,0,0,88.5,0,0
3,0,0,3,0,0,1,143,2018,10,6,1,0,0,0,151.2,1,1
2,0,2,3,2,0,0,13,2017,9,13,0,0,0,0,113.0,0,0
2,0,0,3,0,0,1,59,2018,3,9,1,0,0,0,87.3,1,0
3,0,0,2,0,0,0,164,2018,8,24,1,0,0,0,145.8,2,1
2,0,0,2,0,1,0,146,2018,6,3,1,0,0,0,115.2,0,0
1,0,0,1,0,0,0,0,2018,7,19,4,0,0,0,0.0,0,0
3,0,2,1,0,0,1,130,2018,11,12,1,0,0,0,122.4,3,0
2,0,0,3,0,0,1,95,2018,10,20,1,0,0,0,132.3,0,1
2,2,2,0,0,0,3,22,2017,12,27,1,0,0,0,177.0,0,0
2,0,1,2,0,0,0,13,2018,10,10,2,0,0,0,159.0,0,0
2,0,2,1,0,0,1,20,2018,8,21,1,0,0,0,175.0,2,0
2,0,2,5,0,0,0,277,2018,9,5,0,0,0,0,80.0,0,1
2,0,0,3,0,0,0,42,2017,12,31,0,0,0,0,118.0,0,0
2,0,3,5,0,0,0,86,2018,4,25,1,0,0,0,105.4,1,1
2,0,2,2,0,0,0,54,2018,10,16,0,0,0,0,81.0,0,0
2,0,1,2,0,0,0,280,2018,9,19,0,0,0,0,110.0,0,1
1,0,0,1,0,1,0,5,2018,9,28,2,1,0,1,67.0,0,0
2,0,0,2,2,0,0,256,2018,6,15,0,0,0,0,115.0,1,1
1,0,0,1,1,0,0,36,2018,10,13,1,0,0,0,102.6,0,1
2,0,1,3,0,0,0,90,2018,10,17,0,0,0,0,80.75,0,0
2,0,2,3,0,0,1,5,2018,2,28,1,0,0,0,120.6,1,0
2,0,2,5,0,0,1,108,2018,7,16,1,0,0,0,121.37,0,1
2,0,0,3,0,0,0,279,2018,10,12,0,0,0,0,110.0,0,1
2,0,1,3,0,0,0,23,2018,3,10,1,0,0,0,96.0,0,1
2,0,1,1,0,0,0,33,2018,9,10,1,0,0,0,144.9,1,0
1,0,0,1,0,0,0,0,2018,1,7,1,0,0,0,88.0,0,0
1,0,1,3,0,0,1,1,2018,3,7,2,0,0,0,75.0,0,1
2,0,0,1,0,0,0,1,2018,2,27,1,0,0,0,103.0,1,0
2,0,0,3,0,0,0,433,2018,9,8,0,0,0,0,70.0,0,1
2,0,1,3,0,0,0,101,2018,8,22,0,0,0,0,72.25,1,0
2,0,2,2,0,0,0,23,2018,6,17,1,0,0,0,133.5,1,0
2,0,1,4,0,0,0,77,2017,10,14,1,0,0,0,89.25,2,0
2,0,2,1,2,0,0,131,2017,8,15,0,0,0,0,94.5,0,0
2,0,0,2,0,0,0,64,2018,5,17,2,0,0,0,140.0,0,1
3,0,1,0,0,1,1,4,2018,8,29,1,0,0,0,184.0,0,0
3,0,0,1,0,0,1,118,2018,7,20,1,0,0,0,137.7,1,0
2,0,1,3,0,0,1,155,2018,10,3,1,0,0,0,132.3,3,0
2,0,1,1,0,0,0,180,2018,5,2,0,0,0,0,100.0,1,0
2,0,0,3,1,0,0,66,2018,3,16,1,0,0,0,73.5,0,1
1,0,0,1,0,0,0,5,2018,6,14,0,0,0,0,84.0,0,0
2,0,0,2,0,0,1,23,2018,10,28,1,0,0,0,145.0,2,0
2,0,0,3,0,0,0,433,2018,9,8,1,0,0,0,70.0,0,1
2,0,0,2,0,0,0,263,2018,10,21,0,0,0,0,110.0,0,1
2,0,2,2,0,0,0,35,2018,8,28,1,0,0,0,111.83,0,1
2,0,0,4,0,0,1,90,2018,9,7,1,0,0,0,149.4,0,1
1,0,0,1,0,0,0,2,2018,1,16,4,0,0,0,0.0,1,0
2,0,0,3,0,0,0,73,2017,11,24,0,0,0,0,85.67,0,0
2,0,0,4,0,0,0,224,2018,9,14,1,0,0,0,119.85,1,1
2,0,0,3,0,0,1,6,2018,8,4,1,0,0,0,166.0,0,1
2,0,0,2,0,0,0,0,2018,1,6,1,0,0,0,80.3,1,0
2,0,1,0,1,0,0,6,2018,8,21,0,0,0,0,75.0,0,0
2,0,1,2,1,0,0,58,2018,6,17,1,0,0,0,116.1,1,0
2,0,0,3,0,0,0,33,2018,9,28,0,0,0,0,85.5,0,0
1,1,2,1,0,0,1,33,2018,4,16,1,0,0,0,104.96,0,0
2,1,1,2,0,0,0,62,2018,6,20,0,0,0,0,88.8,1,0
2,0,1,1,0,0,0,89,2018,12,10,1,0,0,0,104.0,2,0
2,0,2,4,0,0,0,1,2018,1,17,1,0,0,0,90.33,1,0
2,0,0,3,0,0,0,50,2018,1,14,0,0,0,0,52.0,1,0
2,0,0,2,0,0,0,122,2018,4,15,0,0,0,0,85.0,0,0
2,0,2,1,0,0,0,216,2018,8,27,1,0,0,0,96.3,2,0
2,0,0,1,0,0,1,68,2018,9,16,1,0,0,0,149.4,0,1
1,0,2,2,0,0,0,157,2018,11,6,1,0,0,0,117.68,2,1
2,0,0,2,0,0,0,59,2017,10,15,1,0,0,0,89.25,2,0
2,0,2,3,0,0,0,59,2017,10,8,1,0,0,0,89.25,2,0
2,0,0,1,1,0,0,119,2018,6,28,1,0,0,0,85.5,0,1
2,0,2,1,0,0,0,60,2018,8,13,1,0,0,0,135.9,1,0
2,2,0,1,0,0,3,1,2018,11,25,1,0,0,0,181.0,2,0
1,1,0,1,2,0,0,29,2018,12,17,1,0,0,0,130.0,0,0
2,0,2,2,0,0,0,9,2018,2,14,0,0,0,0,87.0,1,0
1,0,2,1,0,0,0,20,2018,5,22,0,0,0,0,90.0,0,0
2,0,0,1,0,0,0,105,2018,4,6,0,0,0,0,75.0,0,1
2,0,2,2,0,0,0,157,2018,8,28,0,0,0,0,80.75,2,0
1,0,0,2,0,0,0,188,2018,6,15,0,0,0,0,130.0,0,1
2,0,0,3,0,0,0,77,2017,12,31,1,0,0,0,109.93,1,0
1,0,1,0,0,0,0,26,2018,7,11,2,1,1,8,65.0,0,0
2,0,2,2,0,0,0,155,2018,11,25,1,0,0,0,85.0,1,1
2,0,2,1,0,0,1,202,2018,10,15,1,0,0,0,120.0,1,1
2,0,2,2,1,0,0,152,2018,10,23,1,0,0,0,94.05,0,1
1,0,1,3,0,0,0,5,2018,5,16,2,0,0,0,98.32,0,0
2,0,2,1,0,0,0,58,2018,11,20,0,0,0,0,75.0,1,0
2,0,0,2,0,0,0,4,2018,12,16,4,0,0,0,0.0,1,0
2,0,0,2,0,0,0,141,2018,8,10,1,0,0,0,114.3,1,0
3,0,2,2,0,0,1,8,2018,4,16,1,0,0,0,144.5,1,0
2,0,0,3,1,0,0,196,2018,8,30,1,0,0,0,85.5,0,1
3,0,1,4,0,0,0,155,2018,8,1,1,0,0,0,130.05,0,1
1,0,0,2,0,0,0,64,2018,5,17,2,0,0,0,130.0,0,0
2,0,0,1,1,0,0,104,2018,7,16,1,0,0,0,94.5,0,1
3,0,0,1,0,1,1,1,2018,5,20,1,0,0,0,206.0,2,0
2,0,0,3,1,0,0,8,2018,8,17,1,0,0,0,124.67,1,0
1,0,1,2,0,0,0,1,2018,6,17,0,0,0,0,70.0,0,0
1,0,0,1,0,0,0,7,2018,8,9,2,0,0,0,65.0,0,0
2,0,2,2,0,0,0,7,2017,9,19,1,0,0,0,126.0,1,0
1,0,1,1,2,0,0,7,2018,5,21,0,0,0,0,91.0,1,0
1,0,2,2,0,0,1,75,2018,11,6,1,0,0,0,112.28,3,0
2,0,0,3,0,0,0,25,2018,1,12,0,0,0,0,40.67,0,0
1,0,2,5,2,0,0,277,2018,9,5,0,0,0,0,79.57,0,0
1,0,2,1,0,0,0,116,2018,2,28,0,0,0,0,76.0,0,0
2,0,0,1,1,0,0,19,2018,10,21,1,0,0,0,140.0,2,0
2,0,0,2,2,0,0,56,2017,9,17,0,0,0,0,82.0,0,0
1,0,1,3,0,1,0,12,2018,2,15,1,0,0,0,95.0,0,0
2,0,1,0,0,0,1,6,2018,2,21,1,0,0,0,108.0,1,0
2,1,1,4,0,0,0,83,2018,10,31,1,0,0,0,106.38,1,0
3,0,0,1,0,0,1,45,2018,9,30,1,0,0,0,151.2,0,0
2,0,0,2,0,0,0,16,2018,3,18,1,0,0,0,109.0,0,1
2,0,2,2,0,0,0,78,2018,5,14,1,0,0,0,119.85,2,0
2,2,0,4,0,0,3,26,2018,9,27,1,0,0,0,226.5,0,1
2,0,0,2,2,0,1,78,2018,10,26,1,0,0,0,138.6,1,0
2,0,2,2,0,0,0,17,2018,3,18,1,0,0,0,126.0,0,0
2,0,0,2,0,0,0,38,2018,1,22,1,0,0,0,79.4,1,0
2,0,1,0,0,0,0,52,2018,9,4,1,0,0,0,98.82,0,1
2,0,2,1,0,0,0,168,2018,7,31,1,0,0,0,81.08,1,0
1,0,0,1,0,0,0,53,2018,10,14,0,0,0,0,120.0,0,0
2,0,0,3,0,0,0,5,2017,12,8,2,0,0,0,75.0,0,0
2,0,2,3,0,0,0,137,2018,5,22,1,0,0,0,79.72,1,0
2,0,1,2,0,0,0,57,2018,11,11,0,0,0,0,75.0,0,0
1,0,0,3,0,0,0,113,2018,5,31,2,0,0,0,100.0,0,1
1,0,1,2,0,0,0,64,2018,11,18,1,0,0,0,96.0,3,0
2,0,0,2,1,0,0,35,2018,3,16,1,0,0,0,71.1,1,0
2,0,0,4,0,0,0,74,2018,4,13,1,0,0,0,99.45,1,0
2,0,0,3,0,0,0,12,2017,8,5,2,0,0,0,65.0,0,0
1,0,1,0,0,0,0,1,2018,5,16,1,0,0,0,105.0,0,1
2,0,2,4,0,0,1,87,2018,10,16,1,0,0,0,132.3,0,1
2,0,1,2,2,0,0,161,2018,3,25,1,0,0,0,130.0,0,1
2,0,2,2,0,0,0,6,2017,10,18,1,0,0,0,97.02,1,0
2,0,2,2,0,0,1,47,2017,11,7,0,0,0,0,60.0,1,0
2,0,0,3,0,0,0,27,2018,12,7,1,0,0,0,104.0,2,0
1,0,1,2,0,0,0,118,2018,6,6,0,0,0,0,110.0,0,0
2,0,0,2,0,0,0,22,2017,9,16,2,0,0,0,75.0,0,0
2,0,2,3,0,1,0,156,2018,8,14,1,0,0,0,115.25,1,1
2,0,3,5,0,0,0,160,2018,7,25,1,0,0,0,71.6,0,1
1,0,1,2,0,0,1,83,2018,7,15,1,0,0,0,118.8,1,1
2,0,0,2,0,0,0,1,2017,9,30,0,1,1,0,102.6,0,0
2,0,1,5,0,0,0,164,2017,9,8,1,0,0,0,93.5,2,1
2,0,2,4,0,0,0,46,2018,8,28,1,0,0,0,81.31,0,0
2,0,2,4,1,0,0,195,2018,7,20,1,0,0,0,0.0,1,0
2,0,1,2,1,0,0,13,2018,10,17,1,0,0,0,140.0,2,0
1,0,1,3,0,0,0,12,2017,10,12,2,0,0,0,95.0,0,0
2,0,2,5,0,0,2,115,2018,9,29,1,0,0,0,114.36,1,0
1,0,0,3,0,0,0,113,2018,5,31,2,0,0,0,100.0,0,1
1,0,0,1,0,0,1,7,2018,9,13,1,0,0,0,184.0,2,0
2,0,2,4,0,0,0,160,2018,4,27,1,0,0,0,90.0,0,1
2,0,2,4,0,0,1,56,2018,3,30,1,0,0,0,101.72,1,0
1,0,0,1,0,0,0,3,2017,12,10,2,1,0,2,65.0,0,0
1,0,0,1,0,0,0,17,2017,10,30,0,0,0,0,95.0,0,0
2,0,0,1,0,0,0,207,2018,10,4,1,0,0,0,108.9,3,0
2,0,1,3,0,0,0,76,2018,11,14,1,0,0,0,89.7,1,0
1,0,6,14,0,0,1,4,2018,2,12,1,0,0,0,108.35,0,1
2,0,1,2,0,1,1,70,2018,9,16,1,0,0,0,158.4,1,0
2,0,2,3,0,0,0,17,2018,11,27,1,0,0,0,83.2,0,1
1,0,0,2,2,0,0,6,2017,12,10,1,0,0,0,0.0,0,0
2,0,1,3,1,0,0,0,2017,8,6,1,0,0,0,81.0,0,0
1,0,0,2,2,0,0,320,2018,8,18,1,0,0,0,0.0,0,1
2,0,0,3,0,0,0,18,2017,9,2,1,0,0,0,76.81,2,0
3,0,1,0,0,1,4,44,2018,11,21,1,0,0,0,131.4,0,0
2,0,1,4,0,0,0,259,2018,12,28,1,0,0,0,131.43,2,0
2,0,0,4,0,0,0,36,2018,3,9,1,0,0,0,63.06,1,1
1,0,0,3,0,0,0,71,2018,6,14,0,0,0,0,120.0,0,0
2,0,0,3,0,0,0,170,2018,9,6,1,0,0,0,91.44,0,1
2,0,0,2,0,0,0,1,2017,8,20,1,0,0,0,106.0,3,0
2,1,2,5,0,0,0,132,2018,12,8,1,0,0,0,100.3,0,1
1,0,1,2,0,0,0,219,2017,9,4,0,0,0,0,76.67,0,0
1,0,2,4,0,0,0,69,2018,6,12,1,0,0,0,120.0,0,1
2,0,3,7,1,0,0,18,2018,12,9,1,0,0,0,75.99,0,0
1,0,0,3,0,0,0,57,2018,7,20,2,1,0,2,40.0,1,0
2,0,1,2,0,0,0,25,2018,9,16,1,0,0,0,155.67,4,0
2,0,0,3,0,0,0,99,2018,6,29,1,0,0,0,114.3,1,0
2,0,2,2,0,0,1,78,2018,10,21,1,0,0,0,132.3,0,1
2,1,0,3,0,0,0,42,2018,3,22,0,0,0,0,76.05,1,0
2,0,0,2,2,0,0,257,2017,7,1,1,0,0,0,101.5,0,1
2,0,0,1,0,0,0,3,2017,9,5,1,0,0,0,143.0,1,0
2,0,2,3,0,0,0,25,2017,11,22,0,0,0,0,65.0,0,0
1,0,0,2,0,0,0,23,2018,7,5,1,0,0,0,145.0,0,1
2,0,0,2,1,0,0,0,2018,10,12,1,0,0,0,130.0,1,0
2,0,0,2,0,0,0,68,2017,9,29,0,0,0,0,65.0,0,0
2,0,2,4,2,0,1,164,2018,9,9,0,0,0,0,116.45,3,0
1,0,0,0,0,0,1,0,2018,4,27,4,0,0,0,0.0,2,0
2,0,2,5,0,0,1,96,2018,11,6,0,0,0,0,78.2,0,1
2,0,0,2,0,0,0,70,2018,6,3,0,0,0,0,100.0,0,0
1,0,0,1,0,0,0,163,2018,10,15,0,0,0,0,115.0,0,1
2,0,0,4,0,0,0,253,2018,5,4,0,0,0,0,90.0,0,1
2,0,0,3,0,0,0,146,2017,12,29,0,0,0,0,85.0,0,0
2,0,0,4,0,0,0,296,2018,9,21,0,0,0,0,85.0,0,1
2,0,1,3,2,0,0,191,2018,8,8,1,0,0,0,131.75,2,1
2,0,2,2,0,0,0,62,2018,3,4,1,0,0,0,58.94,1,0
2,0,0,4,0,0,0,9,2017,9,2,1,0,0,0,103.05,0,0
2,1,0,1,0,0,0,0,2018,6,23,1,0,0,0,127.0,0,0
1,0,0,1,0,0,0,1,2018,10,13,1,0,0,0,130.0,2,0
1,0,0,1,0,0,0,11,2017,9,11,1,0,0,0,95.0,2,0
2,1,0,4,0,0,0,1,2018,3,1,1,0,0,0,119.0,1,0
2,0,2,4,1,0,0,34,2017,9,13,1,0,0,0,94.95,1,0
1,0,0,2,0,0,1,2,2018,3,31,1,0,0,0,126.0,0,0
1,0,0,1,0,0,0,0,2018,7,20,2,0,0,0,79.0,0,0
2,0,2,0,0,0,1,35,2018,4,24,1,0,0,0,118.8,1,0
2,1,2,3,0,0,0,28,2018,7,24,1,0,0,0,158.86,1,0
2,0,2,1,0,0,1,31,2017,10,25,0,0,0,0,75.0,1,0
2,0,2,1,0,0,1,103,2018,8,7,1,0,0,0,131.4,2,0
2,0,2,4,0,0,1,99,2018,4,10,1,0,0,0,93.78,1,1
2,0,0,2,0,0,1,4,2018,9,13,1,0,0,0,124.36,0,1
2,0,2,2,1,0,0,130,2018,5,22,1,0,0,0,89.25,1,0
2,0,2,7,0,0,1,57,2018,4,21,1,0,0,0,114.66,1,0
2,0,0,2,0,0,4,117,2018,4,29,1,0,0,0,99.85,0,1
2,0,0,4,1,0,0,91,2017,12,30,0,0,0,0,60.5,0,0
3,0,1,4,1,0,0,100,2018,7,6,1,0,0,0,98.83,2,0
2,0,2,1,0,0,0,11,2018,10,8,1,0,0,0,122.13,0,0
2,0,2,2,1,0,0,27,2018,10,28,1,0,0,0,110.0,1,0
1,0,0,1,0,0,0,15,2018,10,6,1,0,0,0,145.0,0,1
2,0,0,1,1,0,0,0,2018,3,30,1,0,0,0,80.1,0,0
2,0,1,3,1,0,0,41,2018,5,9,1,0,0,0,116.1,0,1
2,1,2,2,0,0,0,16,2017,12,4,0,0,0,0,92.85,0,0
2,0,2,0,0,0,0,27,2018,10,16,0,0,0,0,85.0,0,0
2,0,0,3,0,0,0,17,2018,9,22,1,0,0,0,123.62,1,0
1,0,2,0,1,0,0,4,2018,6,26,1,0,0,0,113.0,1,0
2,0,0,2,0,0,0,70,2018,6,3,0,0,0,0,100.0,0,0
2,0,2,3,0,0,1,86,2018,10,22,1,0,0,0,121.14,1,1
2,0,1,1,2,0,0,247,2018,6,6,0,0,0,0,115.0,1,1
2,0,1,3,0,0,0,113,2018,6,30,1,0,0,0,85.0,0,1
2,0,1,1,1,0,0,1,2018,8,20,1,0,0,0,139.0,0,0
3,0,1,4,0,0,1,200,2018,10,3,0,0,0,0,115.6,4,0
3,0,1,3,0,0,1,93,2018,6,20,1,0,0,0,143.23,0,1
2,1,5,13,0,0,0,12,2018,9,12,0,0,0,0,110.0,2,1
2,0,1,2,0,0,0,273,2018,5,13,0,0,0,0,95.0,0,1
2,0,0,2,0,0,1,79,2018,5,13,1,0,0,0,159.3,1,1
2,2,1,3,0,0,0,0,2018,3,21,1,0,0,0,165.0,0,0
2,0,0,2,0,0,0,28,2018,5,19,2,0,0,0,100.0,0,0
2,0,0,4,1,0,0,160,2018,7,6,1,0,0,0,97.75,0,1
2,2,0,1,0,0,3,5,2018,8,3,1,0,0,0,231.0,0,1
2,0,0,5,0,0,1,162,2018,3,8,0,0,0,0,62.0,1,0
2,0,1,5,0,0,0,349,2018,10,4,0,0,0,0,123.33,0,1
2,0,1,1,0,0,0,50,2018,5,21,0,0,0,0,85.5,0,0
2,0,1,4,1,0,0,77,2018,3,16,1,0,0,0,68.85,0,0
2,0,0,3,0,0,0,2,2018,3,16,2,0,0,0,40.0,1,0
2,0,2,1,0,0,0,110,2018,3,20,0,0,0,0,58.0,0,0
1,0,0,1,0,0,0,99,2018,2,19,2,0,0,0,81.0,0,0
2,0,2,5,0,0,0,29,2018,1,8,1,0,0,0,79.54,1,0
3,0,1,3,0,0,0,118,2018,6,27,1,0,0,0,121.55,2,0
2,0,2,3,0,0,0,96,2018,4,10,1,0,0,0,84.15,1,0
2,0,2,5,0,0,0,134,2018,6,9,1,0,0,0,119.85,1,1
2,0,0,2,0,0,0,73,2018,6,9,1,0,0,0,126.9,1,0
1,0,2,1,1,0,0,52,2018,12,17,1,0,0,0,56.16,0,0
2,0,2,0,0,0,0,95,2018,11,20,1,0,0,0,84.6,2,1
1,0,1,1,0,0,0,16,2017,9,21,0,0,0,0,65.45,0,0
2,0,0,3,0,0,1,63,2018,10,20,1,0,0,0,125.55,0,1
2,0,0,3,0,0,0,37,2018,10,13,0,0,0,0,105.0,0,0
2,0,0,5,1,0,0,77,2018,3,22,1,0,0,0,77.35,0,0
1,0,0,3,0,0,0,191,2018,6,23,0,0,0,0,95.0,0,0
2,0,0,2,1,0,0,35,2018,10,28,1,0,0,0,109.0,1,1
2,0,1,2,0,0,1,21,2018,4,11,1,0,0,0,136.0,1,0
2,0,2,5,0,0,1,12,2018,3,3,1,0,0,0,111.14,0,1
1,0,2,2,0,0,0,77,2018,4,16,1,0,0,0,95.2,1,0
2,0,2,3,0,0,0,211,2018,7,30,1,0,0,0,90.95,0,1
2,0,0,1,0,0,0,8,2018,5,25,1,0,0,0,111.35,0,1
3,0,0,4,0,0,0,27,2017,10,13,1,0,0,0,97.92,1,0
2,0,0,1,0,0,0,0,2018,1,8,1,0,0,0,67.5,0,0
1,0,0,3,0,0,0,276,2018,9,22,0,0,0,0,95.67,0,0
2,0,1,2,2,0,0,315,2018,9,30,0,0,0,0,160.0,0,1
1,0,2,1,0,0,0,34,2017,10,25,2,0,0,0,65.0,0,0
2,0,0,2,2,0,0,39,2017,8,14,0,0,0,0,101.5,0,0
2,0,0,1,0,0,0,113,2017,8,22,1,0,0,0,76.5,2,1
2,1,1,0,0,0,0,187,2018,8,29,1,0,0,0,112.5,0,1
2,0,0,2,0,1,0,13,2017,10,28,1,0,0,0,135.0,1,0
2,0,1,3,2,0,0,228,2018,10,20,1,0,0,0,123.25,3,0
1,0,0,3,0,0,0,151,2018,1,19,0,0,0,0,80.0,0,0
2,0,0,4,0,0,0,270,2018,4,20,0,0,0,0,80.0,0,0
1,0,1,5,0,0,0,81,2018,9,5,0,0,0,0,85.0,0,0
2,0,2,0,0,0,0,17,2018,2,7,1,0,0,0,81.07,1,0
2,2,0,1,0,0,3,4,2018,4,9,1,0,0,0,211.0,2,0
2,0,0,2,0,0,0,9,2018,8,12,1,0,0,0,156.0,1,1
2,0,1,3,0,0,1,103,2018,5,5,1,0,0,0,95.88,1,0
2,0,0,3,0,0,1,103,2018,9,8,1,0,0,0,149.4,0,1
2,0,0,1,0,0,0,56,2018,6,8,0,0,0,0,120.0,0,0
2,0,0,2,1,0,0,12,2018,1,22,1,0,0,0,75.0,0,0
1,0,0,1,0,0,0,4,2018,2,9,1,0,0,0,86.0,0,0
2,0,1,2,0,0,1,133,2018,8,19,1,0,0,0,82.45,0,1
2,0,0,2,0,0,0,90,2018,4,1,1,0,0,0,63.86,1,0
2,0,0,1,0,0,0,14,2018,4,29,0,0,0,0,65.0,0,0
2,0,0,1,0,0,0,35,2018,3,25,0,0,0,0,540.0,0,1
2,0,2,3,0,0,0,17,2017,10,15,1,0,0,0,94.95,1,0
1,0,0,2,0,0,0,22,2018,10,28,0,0,0,0,90.0,0,0
3,0,2,2,0,0,1,94,2018,12,23,1,0,0,0,119.0,1,0
2,0,2,1,0,0,0,30,2018,10,16,0,0,0,0,85.0,0,0
2,0,0,2,0,0,0,29,2018,10,5,1,0,0,0,152.0,2,0
2,0,0,2,0,0,0,68,2017,9,29,0,0,0,0,65.0,0,0
1,0,1,2,0,0,0,24,2018,2,19,0,0,0,0,38.33,0,0
2,0,2,2,0,0,0,174,2018,9,2,1,0,0,0,119.85,1,1
1,0,1,2,0,0,0,82,2018,4,11,0,0,0,0,76.5,0,0
2,0,2,6,0,0,0,130,2018,6,16,1,0,0,0,117.41,1,0
1,0,0,1,0,0,1,14,2018,9,22,1,0,0,0,184.0,2,0
2,0,1,5,0,0,0,20,2018,1,4,0,0,0,0,48.33,0,0
2,0,0,1,0,0,1,0,2018,12,10,1,0,0,0,133.0,0,0
2,0,0,2,1,0,0,29,2018,9,9,1,0,0,0,132.05,0,1
2,2,2,2,0,0,3,214,2018,8,7,1,0,0,0,158.95,1,1
2,0,2,5,0,0,1,141,2018,7,5,0,0,0,0,82.45,1,0
2,1,0,2,0,0,0,93,2018,7,12,1,0,0,0,121.5,2,0
2,0,1,0,0,0,0,3,2018,3,7,1,0,0,0,103.0,1,0
1,0,1,0,0,0,0,3,2017,10,12,2,0,0,0,65.0,0,1
2,0,1,3,1,0,0,33,2018,12,1,1,0,0,0,57.6,3,0
2,0,2,2,0,0,0,77,2017,9,18,1,0,0,0,89.25,0,0
2,0,0,4,0,0,0,12,2017,11,10,1,0,0,0,95.0,0,0
2,1,3,9,0,0,0,155,2018,8,1,1,0,0,0,119.71,1,1
2,0,2,0,2,0,0,386,2018,10,23,1,0,0,0,115.0,1,1
2,0,2,2,0,1,0,15,2017,12,4,1,0,0,0,113.5,1,0
1,0,0,1,0,0,0,12,2018,10,4,1,0,0,0,126.1,0,0
2,0,1,3,0,0,0,120,2018,5,9,1,0,0,0,99.45,0,1
2,0,0,2,2,0,0,265,2018,6,24,0,0,0,0,115.0,1,1
2,0,0,2,0,0,0,27,2017,9,30,0,0,0,0,108.0,0,0
2,0,2,1,0,0,0,5,2018,7,3,1,0,0,0,142.33,1,1
2,1,2,1,0,0,0,10,2018,9,18,1,0,0,0,162.33,3,0
